id,Media,Date,Title,Author,Description
190,movie,1985,Trancers,Charles Band,Jack Deth is a kind of cop/bounty hunter in a future dystopic Los Angeles.
191,movie,1985,My Science Project,Jonathan R. Betuel,Michael and Ellie break into a military junkyard to find a science project. They find an orb that dangerously bends time and have to stop it to save the world.
192,movie,1985,The Blue Yonder,Mark Rossman,An 11-year-old goes back in time to prevent his grandfather from making a fatal plane flight across the Atlantic. Aired on The Disney Sunday Movie under the name Time Flyer. [2] [3]
193,movie,1986,Peggy Sue Got Married,Francis Ford Coppola,"Peggy Sue Bodell faints at her high school reunion. When she wakes up, she finds herself in her own past, just before she finished high school."
194,movie,1986,Biggles: Adventures in Time,John Hough,"Unassuming catering salesman Jim Ferguson falls through a time hole to 1917 where he saves the life of dashing Royal Flying Corps pilot James ""Biggles"" Bigglesworth after his photo recon mission is shot down. Before he can work out what has happened, Jim is zapped back to the 1980s."
195,movie,1986,Star Trek IV: The Voyage Home,Leonard Nimoy,"To save Earth, Admiral James T. Kirk and his crew travel back in time to retrieve the beings who can communicate with an alien probe (humpback whales)."
196,movie,1986,Outlaws,Nicholas Corea,Five cowboys of the 1880s are sent forward through time 100 years and fight crime.
197,movie,1986,Flight of the Navigator,Randal Kleiser,"In 1978, a boy winds up 8 years into the future, and discovers an alien spaceship brought him there."
198,movie,1986,Kin-dza-dza,Georgiy Daneliya,A Russian dystopian comedy. Uncle Vova asks a person from the planet Alpha to move him and Fiddler back in time to save two aliens who got imprisoned because of the main hero's actions.
199,movie,1987,Masters of the Universe,David Odell,"The villain uses a camcorder-like gadget that shows the past, and an inventor opens up wormholes to other timestreams allowing the heroine (a young Courteney Cox) to save her parents from dying."
200,movie,1987,Timestalkers,Michael Schulz,A professor who's lost his family finds evidence of a time traveller in Old West memorabilia.
201,movie,1988,The Navigator: A Medieval Odyssey,Vincent Ward,Medieval travelers from 14th century England tunnel through Earth and burst into 20th century New Zealand.
202,movie,1989,Field of Dreams,Phil Alden Robinson,"Major league baseball players from the early 20th century time travel to the present year of 1989. When Ray Kinsella is in Minnesota searching for former major-leaguer ""Moonlight"" Graham, he is mysteriously transported from 1989 to 1972 where he encounters Graham as an elderly doctor."
203,movie,1989,Back to the Future Part II,Robert Zemeckis,"Sequel to Back to the Future, Part II follows Marty McFly and Doc Brown as they go to the year 2015 to prevent Marty's kids from ruining the McFly family's reputation. Along the way, an old Biff Tannen steals the DeLorean so he can give a sports almanac to himself in the past, and win millions of dollars gambling. This creates a hellish alternate 1985 that it's up to Marty and the Doc to correct."
204,movie,1989,Bill & Ted's Excellent Adventure,Stephen Herek,"Two teenagers (Alex Winter and Keanu Reeves) will not graduate from high school unless they pull an ""A"" on their history project. A time traveler (George Carlin) visits them to help because their success on this report is vital as it ensures they will stay together to create a Utopian future. As Bill & Ted travel through time, they encounter historical figures including Socrates, Joan of Arc, and Billy the Kid."
205,movie,1989,Millennium,Michael Anderson,"Time travelers from the far future steal people already destined to die, such as in plane crashes, in order to restock humankind in their own desolate future. Based on the 1983 John Varley novel."
206,movie,1989,Warlock,Steve Miner,"A warlock in the 17th century who has been sentenced to death for witch craft is transported to the 20th century, followed by a witch hunter who must stop the warlock finding the Grand Grimoire."
207,movie,1990,Frankenstein Unbound,Roger Corman,"A scientist creates a weapon that causes your enemy to disappear but has a side effect of causing shifts in time. The scientist is transported back in time to 1817 and he meets Doctor Frankenstein and his monster as well as Mary Shelley, who in this film wrote her novel based on true events."
208,movie,1990,Back to the Future Part III,Robert Zemeckis,"Sequel to Back to the Future Part II. In the final installment of the trilogy, Marty McFly goes back to 1885 to stop an outlaw from killing Doc Brown in a duel, and bring him back home to 1985."
209,movie,1991,Terminator 2: Judgment Day,James Cameron,Sequel to The Terminator.
210,movie,1992,Bill & Ted's Bogus Journey,Peter Hewitt,Sequel to Bill & Ted's Excellent Adventure. Two evil robot versions of Bill & Ted are sent back in time to kill them.
211,movie,1992,Army of Darkness,Sam Raimi,"Central character Ash (Bruce Campbell), a supermarket employee, is sent back in time by a specific book to the 14th century."
212,movie,1992,Freejack,Geoff Murphy,The rich in a future where time travel has been invented snatch people from history a moment before their death in order to use the bodies as hosts for their own minds after death.
213,movie,1992,Timescape (or:Grand Tour: Disaster in Time),David Twohy,"Ben Wilson and daughter Hillary are visited by a strange group of travelers looking for lodging. The travelers are from the future, intending to witness an impending catastrophe. Based on the novel Vintage Season by Henry Kuttnerand C.L. Moore."
214,movie,1993,Teenage Mutant Ninja Turtles III,Stuart Gillard,The turtles go back in time to feudal Japan to retrieve a kidnapped April.
215,movie,1993,Les Visiteurs,Jean-Marie Poiré,A 12th-century knight and his servant travel in time to the end of the 20th century and find themselves adrift in modern society.
216,movie,1993,The Philadelphia Experiment II,Stephen Cornwell,"A disastrous experiment in 1993 sends a stealth aircraft through a time portal, into 1943 Germany. A sailor is pulled into the portal, and finds himself in the terrifying 1993 that resulted from a Nazi victory in World War II."
217,movie,1993,12.01,Jack Sholder,"Barry Thomas is an average office worker. He becomes attracted to Lisa, a scientist in the same company. After work, Barry witnesses the murder of Lisa and goes to a bar to get drunk. That night, there is a storm and Barry gets a shock from a lamp's faulty power wire at exactly 12:01 a.m. The next few days, he realizes the world is trapped in a time loop, with himself the only one aware of it. Barry must prevent Lisa's murder and stop the time loop or be caught in time forever."
218,movie,1993,Groundhog Day,Harold Ramis,"Weatherman Phil Connors is trapped in 2 February in the town of Punxsutawney, Pennsylvania when he finds the same day repeating over and over."
219,movie,1994,Time Chasers,David Giancola,An amateur inventor goes through time with an airplane to stop a villain from changing history for profit.
220,movie,1994,A.P.E.X.,Phillip J. Roth,"A time-travel experiment in which a robot probe is sent from the year 2073 to the year 1973 goes terribly wrong thrusting one of the project scientists, a man named Nicholas Sinclair into a plague ravaged alternate time-line whose war weary inhabitants are locked in a constant battle with killer robots which are automatically being sent there from Sinclair's lab. To escape this situation, Sinclair must find a similar time machine in this alternate world and prevent the disaster from ever happening."
221,movie,1994,Star Trek Generations,David Carson,USS Enterprise Captains James T. Kirk and Jean-Luc Picard meet through the effects of an energy ribbon.
222,movie,1994,Timecop,Peter Hyams,"Includes a prohibition against changing the past. The Time Enforcement Commission (TEC) is created to prevent alterations to the past. This causes a dilemma for the hero, Max Walker, who has to prevent time-travelers from altering time, but is tempted to do so to prevent his wife's death."
223,movie,1995,12 Monkeys,Terry Gilliam,James Cole tries to change the past but fails. It therefore runs on the principle of a fixed timeline (the Novikov self-consistency principle).
224,movie,1996,Doctor Who,Geoffrey Sax,This film involves the Doctor in his eighth incarnation and has a showdown with the Master.
225,movie,1996,Star Trek: First Contact,Jonathan Frakes,The USS Enterprise follows the Borg back in time to stop them from altering history and preventing Earth's first warp flight and first contact with the Vulcans.
226,movie,1997,Time Under Fire [1],Jeff Fahey,"A US submarine runs into a time rift. A special unit goes on a mission to see what's on the other side. They find themselves in an alternate dystopian America, now a one-man dictatorship. They decide to help the rebels."
227,movie,1999,Time at the Top[2],"Timothy Busfield, Elisha Cuthbert, Gabrielle Boni,Matthew Harbour","14-year old Susan Shawson travels back in time in her building's elevator, as altered by a retired physicist living in her building. It transports her from Philadelphia of 1998 back to the same place in other years depending on the order of buttons pushed. In 1881 she meets Victoria Walker, a girl her own age in need of assistance with her own family problems. Gradually discovering the power of her time machine, Susan, Victoria, and her young brother Robert travel back and forth in time and succeed in changing both the past and the future."
228,movie,1999,Lost in Space,Stephen Hopkins,"In 2058, a family undertakes a voyage to a nearby star system to begin large-scale emigration from a soon-to-be uninhabitable Earth, but are thrown off course by a saboteur and must try to find their way home."
229,movie,1999,Austin Powers: The Spy Who Shagged Me,Jay Roach,Dr. Evil is back and has invented a time machine that allows him to go back to the 1960s so he can steal Austin Powers' mojo.
230,movie,1999,Galaxy Quest,Dean Parisot,A jump back in time of 13 seconds is all the time lead actor Jason Nesmith (Tim Allen) needs to save his crew from being killed.
231,movie,1999,The Time Shifters,Mario Philip Azzopardi,"A reporter, learning of time travelers visiting 20th century disasters, tries to change the history they know by averting upcoming disasters."
232,movie,1999 (UK) 2000 (USA),S Club 7: Back to the 50's [3],Andrew Margetson,A music group finds a time portal while on their way to Los Angeles and find themselves in a desert town in the year 1959 under the control of a gang with a corrupted sheriff as an ally. The group learns about the fate of a local chef at a diner and tries to prevent certain disaster despite threats against them from both the sheriff and the gang.
233,movie,2000,Frequency,Gregory Hoblit,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences."
234,movie,2000,Ditto,Kim Jeong-gwon,"Two people separated in time are somehow able to talk to each other using an amateur radio. The people in question are two students in the same school, one in 1979, the other in 2000."
235,movie,2000,Disney's The Kid,Jon Turteltaub,A 40-year old image consultant (Bruce Willis) finds himself being visited by his 10-year old self.
236,movie,2000,Il Mare,Lee Hyun-seung,"The two protagonists both live in a lake house two years apart in time, but are able to communicate through a mysterious post box. This movie inspired the 2006 American film The Lake House."
237,movie,2001,Black Knight,Gil Junger,"After falling into a theme park's fetid moat, a custodian (Martin Lawrence) crawls out into fourteenth century England. The Middle Ages will never be the same."
238,movie,2001,Donnie Darko,Richard Kelly,"A teenager travels through time using wormholes, a man in a bunny suit, and the modern ritual of sleeping on golf courses."
239,movie,2001,Just Visiting,Jean-Marie Poiré,"A medieval knight and his serf travel to 21st century Chicago, meeting the knight's descendant. But they must travel back to their time to ensure her birth."
240,movie,2001,Kate & Leopold,James Mangold,A Duke time travels from 1876 to the present and falls in love with a career woman in New York.
241,movie,2001,Pokémon 4Ever,Kunihiko Yuyama Jim Malone,The film focuses on Celebi who travels to the future and returns with a boy named Sam when being chased by a hunter.
242,movie,2002,Returner,Takashi Yamazaki,"The human race is on the edge of annihilation after decades of war with an alien force. In an outpost in Tibet, mankind's last hope of survival is a time travel device."
243,movie,2002,The Time Machine,Simon Wells,"Remake of 1960s version of the film, directed by H. G. Wells' great-grandson, has little in common with H. G. Wells's original novel."
244,movie,2002,Time Changer,Rich Christiano,A Bible professor from 1890 comes forward in time to the present via a time machine and cannot believe the things that he sees.
245,movie,2002,Timequest,Robert Dyke,A time traveler changes history by warning Jackie Kennedy about the future.
246,movie,2002,Austin Powers in Goldmember,Jay Roach,"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the villain Goldmember – who is working with Dr. Evil."
247,movie,2002,Das Jesus Video,Sebastian Niemann,"In Israel, a student in archaeology is seeking a video camera hidden 2000 years ago by a mysterious time traveler."
248,movie,2003,Bottom Live 2003: Weapons Grade Y-Fronts Tour,Rick Mayall,Eddie Hitler builds a time traveling toilet which he calls the TURDIS.
249,movie,2003,Timeline,Richard Donner,Film adaptation of the book by Michael Crichton.
250,movie,2003,Terminator 3: Rise of the Machines,Jonathan Mostow,Sequel to The Terminator and Terminator 2: Judgment Day.
251,movie,2004,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,"Hermione Granger receives a Time-Turner from Professor McGonagall, so she can attend more classes than time would normally allow. She and Harry later use the Time-Turner to save Sirius Black and Buckbeak."
252,movie,2004,Primer,Shane Carruth,"Time travelers can only use the time machine to travel to when the machine was first turned on. But you can bring a second running time machine back with you and after leaving the first machine, climb in the second. Aaron obsessively returns to a party one night to prevent a murder and become a hero."
253,movie,2004,The Butterfly Effect,Eric Bress & J. Mackye Gruber,A college psychology student (Ashton Kutcher) learns he can temporarily travel to his past and change it. The time traveling in this film involves a process initiated by reading childhood journals.
254,movie,2004,13 Going on 30,Gary Winick,A 13-year old girl makes a birthday wish and wakes up as a 30-year old woman.
255,movie,2005,Fetching Cody,David Ray,"Distraught over his drug-addicted girlfriend, Cody (Sarah Lind), who's overdosed and fallen into a coma, small-time dope peddler Art (Jay Baruchel) uses a time machine to journey into the past in a desperate gamble to change her future."
256,movie,2005,The Jacket,John Maybury,A amnesiac Persian Gulf War veteran (Adrien Brody) is subjected to an experimental treatment which moves him forward 15 years.
257,movie,2005,A Sound of Thunder,Peter Hyams,"For an extraordinary price, Time Safaris, Inc. will take clients through a wormhole to a time in pre-history to hunt dinosaur game. Based loosely on the 1952 short story by Ray Bradbury, with the Butterfly Effect portrayed as much more pronounced."
258,movie,2005,Summer Time Machine Blues,Katsuyuki Motohiro,"Five college boys in a sci-fi club break their air-conditioner's remote control. In the sweltering clubhouse, a time machine appears and they go back in time to retrieve a functioning controller, but this causes complications."
259,movie,2006,The Lake House,Alejandro Agresti,Time travel romance where two people living in the same house at a lake at different times are able to exchange letters through its mailbox and fall in love.
260,movie,2006,Click,Frank Coraci,"Adam Sandler is given a remote that lets him fast forward, pause, and rewind his life."
261,movie,2006,The Girl Who Leapt Through Time,Mamoru Hosoda,A teenage girl discovers that she can leap through time.
262,movie,2006,Déjà Vu,Tony Scott,Denzel Washington is an ATF agent investigating a terrorist act who is invited to assist in a government time travel surveillance project.
263,movie,2006,Idiocracy,Mike Judge,"Luke Wilson as Corporal Joe Bauers (later ""Not Sure"") a U.S. Army librarian, along with a prostitute named Rita are selected for a suspended animation experiment which is supposed to last one year but which is forgotten for five hundred years."
264,movie,2007,Bender's Big Score,Dwayne Carey-Hill,"Alien scammers discover the code for time travel tattooed on Philip J. Fry's buttocks, and use it to send Bender back in time to steal priceless artifacts."
265,movie,2007,Disney's Meet the Robinsons,Stephen J. Anderson,"Young Lewis is taken to the year 2037 by his future son Wilbur to stop a ""Bowler Hat Guy"" who has stolen Lewis' memory scanning machine."
266,movie,2007,Premonition,Mennan Yapo,"House wife (Sandra Bullock) learns that her husband died in a car crash the previous day, but wakes up next morning to find him well and alive, and awakens the next day to a time when it has been a few weeks since he had died."
267,movie,2008,Timecrimes,Nacho Vigalondo,A man accidentally travels back to the past and meets himself there.
268,movie,2008,Minutemen,Lev L. Spiro,"Three high-school outcasts use a time machine that one invented to save their classmates from embarrassing moments. Their time-travel creates a black hole, which could destroy the world."
269,movie,2008,Stargate: Continuum,Martin Wood,Ba'al (Cliff Simon) changes the timeline so that SG-1 or the Stargate program never existed. Three people were unaffected by the change but are unable to do anything until Ba'al and the system lords arrive.
270,movie,2009,Star Trek,J. J. Abrams,"Spock's attempt to prevent a supernova fails, resulting in the destruction of the Romulan homeworld. The captain of a Romulan mining ship blames Spock, and both the Romulans and Spock fall through a black hole to the past, creating an alternate reality."
271,movie,2009,Mr. Nobody,Jaco Van Dormael,"A romantic drama about Nemo Nobody (Jared Leto), a 118-year-old man and the last mortal on Earth, who can predict the future and tells of alternate life paths, often changing course with the flick of a decision."
272,movie,2009,The Time Traveler's Wife,Robert Schwentke,"A romantic drama about a Chicago librarian (Eric Bana) with a gene that causes him to involuntarily time travel, and the complications it creates for his marriage. Based on the Audrey Niffenegger novel."
273,movie,2009,Frequently Asked Questions About Time Travel,Gareth Carrivick,Two geeks and a cynic attempt to navigate a time-travel conundrum in the middle of a British pub. Faris plays a girl from the Future who sets the adventure in motion.
274,movie,2009,Disney's A Christmas Carol,Robert Zemeckis,"Miserly moneylender Ebenezer Scrooge is visited by the ghosts of Christmas Past, Present and Future, in order to change his ways."
275,movie,2009,Land of the Lost,Brad Silberling,
276,movie,2010,Action Replayy,Vipul Amrutlal Shah,"A young man named Bunty uses a time machine created by his girlfriend's grandfather to meet his own parents before they were married, and help them develop a more loving relationship."
277,movie,2010,The Disappearance of Haruhi Suzumiya,Tatsuya Ishihara,"Kyon is the only one who knows two of his classmates are missing and everything is different. To restore his life, he gathers several keys to power an alien device and travel back three years."
278,movie,2010,Hot Tub Time Machine,Steve Pink,"Four friends spend a crazy, drunken night in a hot tub at a ski resort only to travel back in time to 1986. They are each presented with an opportunity to alter their futures. The film stars John Cusack, Rob Corddry, Craig Robinson, and Clark Duke."
279,movie,2010,Prince of Persia: The Sands of Time,Mike Newell,"Disney's adaption of the video game of the same name. A dagger is used to turn back the clock; it has a grip made of crystal through which a special ""Sand of Time"" has to flow in order to create the time transition effect. The Prince (Jake Gyllenhaal) has to prevent someone from changing history."
280,movie,2010,Yu-Gi-Oh! 3D: Bonds Beyond Time,Kenichi Takeshita,"Series protagonist Yusei Fudo encounters Turbo Duelist Paradox, who is from the future, and who believes the only way to prevent his future from happening is to stop Duel Monsters from existing."
281,movie,2011,Ticking Clock,Ernie Barbarash,James is a guy from the year 2032 who comes back in time with a custom-made watch that is a time machine. He travels back in time to fix his life but fails.
282,movie,2011,Source Code,Duncan Jones,"Captain Colter Stevens (Jake Gyllenhaal) died in a helicopter crash and has been inserted in a computer program called Source Code which transfers him to the body of a deceased person for the last eight minutes of his life. He cannot change the past, since Source Code is not a time machine, but he can alter events and change the future to avoid a terrorist attack."
283,movie,2011,Midnight in Paris,Woody Allen,"While visiting Paris with his fiancee, an American writer (Owen Wilson) discovers a way to travel back to the 1920s, allowing him to mingle with and draw inspiration from historical greats such as Ernest Hemingway, F. Scott Fitzgerald, and Gertrude Stein."
284,movie,2011,The Man From The Future,Cláudio Torres,"A brilliant physicist spends 20 years developing a time machine, then he cames back in time and try to do everything different."
285,movie,2012,Safety Not Guaranteed,Colin Trevorrow,Comedy film inspired by a 1997 Backwoods Home Magazine classified ad by a person asking for someone to accompany him in time travel.
286,movie,2012,Men in Black 3,Barry Sonnenfeld,Agent J travels back in time to MIB's early years in the 1960s in order to stop an alien from assassinating his friend Agent K and changing history.
287,movie,2012,Looper,Rian Johnson,Criminal organizations abuse time travel to kill humans and avoid tracking of their bodies.
288,movie,2012,Quantum of Vengeance [4],Ben Wydeven,"In 1998, as a young girl, Emily Freeman witnesses her father being brutally murdered. 14 years later, her professor reveals that he has successfully built a time machine, which inspires her to go back in time and seek vengeance."
289,movie,2012,Dimensions [5],Sloane U’Ren,"Time travel, love and betrayal in 1920s England. A brilliant scientist becomes obsessed with revisiting his past - no matter what the cost. Jealousy, desires and greed surround him, clouding his judgement and sending him spiralling - towards madness."
290,movie,2013,The A.R.K. Report,Harry Moskoff,A short film. A young girl travels into the future in order to find the ancient Ark of the Covenant and prevent it from falling into the hands of an evil army.
291,movie,2013,About Time,Richard Curtis,"Tim's father tells his son that the men in his family have always had the ability to travel through time. Tim can't change history, but he can change what happens and has happened in his own life."
292,series,1951-1956,Captain Z-Ro,Roy Steffens,"Scientist Captain Z-Ro, working in his remote laboratory, safeguarded mankind and history from impending harm. He had a time machine, the ZX-99, both to view history and to send someone back in time."
293,series,1963-–,Doctor Who,-,"A Time Lord known as ""the Doctor"" travels through time and space in a TARDIS (Time And Relative Dimension In Space)."
294,series,1966-1967,It's About Time,Sherwood Schwartz,"Two astronauts who break the speed of light, accidentally travel back in time to prehistoric Earth. When they realise that they are unable to return, they make friends with the cave-people they encounter. Eventually, they are able to return, but inadvertently bring some of the cave-people with them who then have to learn how to get along in the 1960s."
295,series,1966-1967,The Time Tunnel,Irwin Allen,"The year is 1968, and Doug Phillips and Tony Newman are working on a top secret project beneath the Arizona desert called ""tic-toc"". The project has been 10 years in the making, and a visiting senator wants to see if this project really works, or he will cut the funding for it. To prove that it can work, Tony Newman turns on the time tunnel and goes back to the year 1912, and is on board the Titanic, which would sink hours later. Doug Phillips goes into the tunnel to help Tony, and both are stuck hapless in time. They are catapulted each week to a new adventure in history."
296,series,1970-1971,Catweazle,Richard Carpenter,11th century wizard accidentally ensorcels his way into the 20th. Humorous mistakes are made.
297,series,1970-1971,Timeslip,John Cooper,Two time traveling children visit both the past and future.
298,series,1979-1982,Sapphire & Steel,Peter J. Hammond,Two time traveling inter-dimensional agents protect and guard the order of time in this British drama.
299,series,1982-1983,Voyagers!,James D. Parriott,A member of a league of time travelers and a boy travel through time repairing errors in world history.
300,series,1988-1988,Moondial (TV serial),Helen Cresswell,"After a family tragedy, a young girl is transported into the past."
301,series,1988-–,Red Dwarf,Rob Grant & Doug Naylor,"Having been in suspended animation for 3 million years, Dave Lister leaves stasis as the last human being alive. The Red Dwarf (the ship he is on) is in deep space and travelling at nearly the speed of light. Time travel occurs in this incident, as well as on many other occasions in the series - usually into the past."
302,series,1989-1993,Quantum Leap,Donald P. Bellisario,"Dr. Sam Beckett (Scott Bakula) helped to develop Quantum Leap, a project that would allow a person to time travel back to any point since that person was born. Beckett ended up being the test subject, and while he could remember only certain details, he traded places with a person in the past. Others in the past saw the other person instead of Beckett. In the present, an observer named Al (Dean Stockwell), whom Beckett could see as a hologram, gave Beckett advice. This usually involved having Beckett correct some problem in the other person's life."
303,series,1990-1991,Bill & Ted's Excellent Adventures,-,Animated spin off of the movies Bill & Ted's Excellent Adventure and Bill & Ted's Bogus Journey
304,series,1991-1992,Back to the Future: The Animated Series,Bob Gale,Continues on from Back to the Future Part III.
305,series,1992-1993,Bill & Ted's Excellent Adventures,-,Live action spin off of the movies Bill & Ted's Excellent Adventure and Bill & Ted's Bogus Journey
306,series,1993-1999,Goodnight Sweetheart,Laurence Marks andMaurice Gran,"An accidental time traveller, Gary Sparrow, leads a double life after discovering a time portal allowing him to travel between 1990s London and wartime London of 1939–1945."
307,series,1993-1994,Time Trax,"Creators: Harve Bennett, Jeffrey M. Hayes, Grant Rosenberg·",A police officer from the 22nd century (Dale Midkiff) makes his way back to our time to track down fugitives from the future.
308,series,1994-1995,Mega Man (TV series),-,"In the episode ""Future Shock"", Mega Man is accidentally booted to the future by Dr. Light’s new time machine, where he discovers that because he wasn’t in the past to stop Dr. Wily, the evil scientist has taken over the planet. Mega Man must find his way back to his own time so that he can reverse this horrible future."
309,series,1997-2007,Stargate: SG-1,Peter DeLuise,"On their journeys through the Stargate, an elite special forces squad called SG-1 experiences time travel both to the past and future."
310,series,1997-1997,Crime Traveller,Anthony Horowitz,"Jeff Slade (Michael French) uses a time machine created by colleague Holly Turner's father to solve crimes. The machine operates seemingly-randomly, sending the user(s) back in time a time that can be a matter of minutes, or several days."
311,series,1998-2001,Seven Days,Christopher & Zachary Crowe,NSA Agent Frank B. Parker can travel back 7 days in a time machine powered by alien technology.
312,series,2000-2001,Mirai Sentai Timeranger,-,Four policemen travel from the year 3000 to the year 2000 to arrest fugitives.
313,series,2001-2005,Star Trek: Enterprise,"Creators: Rick Berman,Brannon Braga","Various species from the 30th century are having a ""Temporal Cold war"" that is interfering with life in the 22nd century, which affects the lives of the USS Enterprise (NX-01) and its crew."
314,series,2001-2004,Samurai Jack,Genndy Tartakovsky,"An ancient demon throws the hero Samurai Jack into the future, in order to allow himself enough time to conquer the world."
315,series,2001-2003,Time Squad,Dave Wasson,"Time cops from the year 1,000,000,000 A.D. travel back in time to keep famous historical figures from diverting the course of history. A Cartoon Network series."
316,series,2002-2004,Odyssey 5,"Manny Coto, David Carson",Astronauts (including Peter Weller and Sebastian Roché) are sent back in time after witnessing the end of the Earth from space.
317,series,2002-2003,Do Over,Rick Wiener and Kenny Schwarz,"Joel Larsen (Penn Badgley), a 34-year old man, gets a second chance to get his life right, thanks to a freakish accident that catapults him back to 1981, as a 14-year old. He is electrocuted, then wakes up in his teenage body, but with all his adult memories intact. Blessed with adult wisdom, though hampered by adolescent urges, Joel sets out to right the wrongs that will befall his family."
318,series,2002-2002,That Was Then,"Dan Cohn, Jeff Kline, Jeremy Miller","A 30-year-old who regrets a lot of his mistakes from the past finds himself back in high school, getting a chance to do some things over."
319,series,2003-2005,Tru Calling,Jon Harmon Feldman,"A young woman (Eliza Dushku) who works in the city morgue receives requests from corpses to stop their untimely deaths and then wakes up the day before, in order to attempt to save them."
320,series,2004-2004,5ive Days to Midnight,"Robert Zappia, David Aaron Cohen, Anthony Peckham and Cindy Myers",When college professor J.T. Neumeyer (Timothy Hutton) discovers a police file that outlines the details of his murder - which is to take place five days in the future - he wastes no time trying to save his own life.
321,series,2004-2010,Lost,Damon Lindelof & Carlton Cuse,"Desmond Hume, former Royal Scots Regimen, is caused by electromagnetic radiation to become ""unstuck in time."" His consciousness switches between 2004 (the present) and 1996. Benjamin Linus, former leader of the island natives, travels ten months into the future after moving the island. In Season 5, the characters on the island skip through time to different periods of the island's past and future."
322,series,2004-2009,Stargate: Atlantis,Martin Wood,"Both John Sheppard and Dr. Elizabeth Weir experience time travel when dealing with various ancient devices, among them the Stargate."
323,series,2004-2006,Phil of the Future,Tim Maile and Douglas Tuber,"A family attempts to repair their spaceship after being stranded in the past, or modern day, while maintaining the appearance of being normal people. Ricky Ullman starred."
324,series,2005-2007,Time Warp Trio,Executive producer: Jim Rapsas,"A children's cartoon where, using books, three children travel through time and space. Based on the books by Jon Scieszka."
325,series,2006-–,Torchwood,"Russell T Davies, Chris Chibnall,  Jane Espenson,  John Fay",Humans and aliens alike from different periods in time start to come through to our world by means of a rift in the space/time continuum. (Spin-off from Doctor Who.)
326,series,2006-2010,Heroes,Tim Kring,"Hiro Nakamura (Masi Oka) and Peter Petrelli (Milo Ventimiglia) can travel in time and space. This is the foundation for the plot of both series one and series two, in which apocalyptic disasters happen and the characters travel back and forth in an attempt to prevent them."
327,series,2006-2007,Life on Mars,"Matthew Graham, Ashley Pharoah, Tony Jordan, Chris Chibnall","A police officer, Sam Tyler (played by John Simm), must learn to adapt to the way things were done in the 70s after being thrown back in time by an accident. ( U.S. version of the series, Life on Mars, starring Jason O'Mara, aired in 2008–2009.)"
328,series,2006-2007,Transformers: Cybertron,,"The Autobot Vector Prime is a defender of spacetime, he saved your friends human using your power over time, did before of destroy them, by Megatron."
329,series,2006-2007,Day Break,Paul Zbyszewski,A cop must relive the day when his girlfriend gets murdered so that he can prevent it from happening. A suspenseful variation on the Groundhog Day concept.
330,series,2007-–,Phineas and Ferb,Dan Povenmire and Jeff Marsh,"In one episode, Phineas and Ferb ""fix"" an old model of a time machine at a museum which allows them to travel back to the age of the dinosaurs, and eventually back to the future again. In another episode, they used this same time machine again to travel into the future. This time, a much more complicated series of events followed, where their future sister follows them back through time and accidentally disrupts the normal course of various events, setting off a chain reaction that turns the future into a dystopian society."
331,series,2007-2011,Primeval,-,"Portals to different time periods start opening up and creatures from the past and future start to come through. There are indications that the portals are man-made, but their exact origin is shrouded in mystery."
332,series,2007-2008,Kamen Rider Den-O,-,The protagonists must work with and fight creatures known as Imagin who come from a possible future and have come back in time to kill the key figure to the Junction Point: a human whose sole existence ensures that the Imagin's future cannot exist. The Imagin grant wishes to weak-willed humans to travel farther back in time along that person's memories in order to find the Junction Point by destroying anyone and anything in their way to change the future.
333,series,2007-2007,Journeyman,"Kevin Falls, Matt McGuinness, Tom Szentgyorgyi","Dan Vasser is the main protagonist of the series, who finds himself jumping through time, unable to stop or control the jumps. Olivia ""Livia"" Beale is also a traveler from 1948 who jumps into the future. After not being able to jump home, she was stuck in Dan's present and adapted to life there, where she began a legal career and fell in love with Dan, only to finally jump back home while on the plane. For unknown reasons, she now jumps to the same times that Dan visits, and offers him advice and assistance in his missions."
334,series,2008-2010,Ashes to Ashes,"Matthew Graham, Ashley Pharoah, Julie Rutterford, Mark Greig, Jack Lothian","Spin off series from ""Life on Mars"" set in 1980s"
335,series,2008-2009,Kamen Rider Kiva,-,"Parallel storylines taking place in 1986 and 2008 are told, with two of the protagonists from the 2008 timeline going back in time to 1986. The latter time traveler goes back in time to attempt to prevent his birth such that his love may live, but instead ensures that his existence remains by saving his father from being killed by the series' antagonist."
336,series,2008-2012,Fringe,-,"In season 4 and 5 of Fringe, time travel is used by the Observers in means to take over human civilization in 2015. Olivia and her team are sent from the year 2015 to the year 2036 to fight off the Observers."
337,series,2008-2009,Terminator The Sarah Connor Chronicles,-,A female Terminator from the year 2027 comes back in time to 1999 to protect a young John Connor. They then use the time displacement equipment to move forward in time by 8 years to hide John. Various other Terminators are sent back in time on varying missions.
338,series,2009-–,Dinosaur Train,Craig Bartlett,"A T-rex named Buddy travels with his adopted Pteranodon family on the Dinosaur Train. The Dinosaur Train has the ability to visit the entire Mesozoic Era, the ""Age of Dinosaurs"", passing through magical Time Tunnels to meet the dinosaurs in the Triassic, Jurassic, and Cretaceous time periods."
